lon	lat	T	LDEO ClimateGroup PROJECTS IPCC CMIP5 pdsi-spei pdsi CCSM4 r1i1p1 pdsi-all
degree_east	degree_north	months since 1900-01-01	unitless
   -122.5000    	    37.22513    	    5.500000    	   -1.420950    
   -121.2500    	    37.22513    	    5.500000    	   -1.037798    
   -120.0000    	    37.22513    	    5.500000    	  -0.8802754    
   -122.5000    	    38.16754    	    5.500000    	   -1.286880    
   -121.2500    	    38.16754    	    5.500000    	  -0.9786893    
   -120.0000    	    38.16754    	    5.500000    	  -0.4527694    
   -122.5000    	    39.10995    	    5.500000    	  -0.7124774    
   -121.2500    	    39.10995    	    5.500000    	   0.4824259    
   -120.0000    	    39.10995    	    5.500000    	    1.056444    
   -122.5000    	    40.05236    	    5.500000    	    2.122594    
   -121.2500    	    40.05236    	    5.500000    	    1.497381    
   -120.0000    	    40.05236    	    5.500000    	    1.535316    
   -122.5000    	    40.99477    	    5.500000    	    2.499562    
   -121.2500    	    40.99477    	    5.500000    	    2.627097    
   -120.0000    	    40.99477    	    5.500000    	    2.024620    
   -122.5000    	    41.93717    	    5.500000    	    2.810709    
   -121.2500    	    41.93717    	    5.500000    	    2.822137    
   -120.0000    	    41.93717    	    5.500000    	    2.495360    
   -122.5000    	    42.87958    	    5.500000    	    2.763656    
   -121.2500    	    42.87958    	    5.500000    	    2.735323    
   -120.0000    	    42.87958    	    5.500000    	    2.206876    
   -122.5000    	    37.22513    	    6.500000    	   -1.563601    
   -121.2500    	    37.22513    	    6.500000    	   -1.025381    
   -120.0000    	    37.22513    	    6.500000    	  -0.9796376    
   -122.5000    	    38.16754    	    6.500000    	   -1.333615    
   -121.2500    	    38.16754    	    6.500000    	   -1.001820    
   -120.0000    	    38.16754    	    6.500000    	  -0.5306609    
   -122.5000    	    39.10995    	    6.500000    	  -0.7927059    
   -121.2500    	    39.10995    	    6.500000    	   0.5767571    
   -120.0000    	    39.10995    	    6.500000    	    1.352636    
   -122.5000    	    40.05236    	    6.500000    	    2.489424    
   -121.2500    	    40.05236    	    6.500000    	    2.003395    
   -120.0000    	    40.05236    	    6.500000    	    2.082997    
   -122.5000    	    40.99477    	    6.500000    	    2.717014    
   -121.2500    	    40.99477    	    6.500000    	    3.218886    
   -120.0000    	    40.99477    	    6.500000    	    2.467798    
