lon	lat	T	LDEO ClimateGroup PROJECTS IPCC CMIP5 pdsi-spei pdsi GFDL_ESM2M pdsi-all
degree_east	degree_north	months since 1900-01-01	unitless
   -121.2500    	    35.39326    	    5.500000    	   -4.493577    
   -118.7500    	    35.39326    	    5.500000    	   -3.219554    
   -121.2500    	    37.41573    	    5.500000    	   -3.868520    
   -118.7500    	    37.41573    	    5.500000    	   -2.962645    
   -121.2500    	    39.43820    	    5.500000    	   -2.971140    
   -118.7500    	    39.43820    	    5.500000    	   -2.964025    
   -121.2500    	    41.46067    	    5.500000    	   -1.965260    
   -118.7500    	    41.46067    	    5.500000    	   -1.998129    
   -121.2500    	    43.48315    	    5.500000    	  -0.3324294    
   -118.7500    	    43.48315    	    5.500000    	   0.4189419    
   -121.2500    	    35.39326    	    6.500000    	   -4.058706    
   -118.7500    	    35.39326    	    6.500000    	   -2.994558    
   -121.2500    	    37.41573    	    6.500000    	   -3.632738    
   -118.7500    	    37.41573    	    6.500000    	   -2.842642    
   -121.2500    	    39.43820    	    6.500000    	   -2.783175    
   -118.7500    	    39.43820    	    6.500000    	   -2.217527    
   -121.2500    	    41.46067    	    6.500000    	   -1.589563    
   -118.7500    	    41.46067    	    6.500000    	   0.8222192    
   -121.2500    	    43.48315    	    6.500000    	  -0.3680220    
   -118.7500    	    43.48315    	    6.500000    	   0.5773077    
   -121.2500    	    35.39326    	    7.500000    	   -3.724277    
   -118.7500    	    35.39326    	    7.500000    	   -2.850300    
   -121.2500    	    37.41573    	    7.500000    	   -3.387159    
   -118.7500    	    37.41573    	    7.500000    	   -2.816045    
   -121.2500    	    39.43820    	    7.500000    	   -2.732239    
   -118.7500    	    39.43820    	    7.500000    	   -1.881392    
   -121.2500    	    41.46067    	    7.500000    	   -1.395262    
   -118.7500    	    41.46067    	    7.500000    	    1.167431    
   -121.2500    	    43.48315    	    7.500000    	  -0.6408425    
   -118.7500    	    43.48315    	    7.500000    	   0.8521416    
   -121.2500    	    35.39326    	    17.50000    	   -6.692082    
   -118.7500    	    35.39326    	    17.50000    	   -5.456211    
   -121.2500    	    37.41573    	    17.50000    	   -5.725011    
   -118.7500    	    37.41573    	    17.50000    	   -4.819721    
   -121.2500    	    39.43820    	    17.50000    	   -4.554902    
   -118.7500    	    39.43820    	    17.50000    	   -2.564443    
   -121.2500    	    41.46067    	    17.50000    	   -2.495629    
   -118.7500    	    41.46067    	    17.50000    	   -1.200289    
   -121.2500    	    43.48315    	    17.50000    	   -2.799402    
   -118.7500    	    43.48315    	    17.50000    	   -2.073896    
   -121.2500    	    35.39326    	    18.50000    	   -6.070969    
   -118.7500    	    35.39326    	    18.50000    	   -5.124696    
   -121.2500    	    37.41573    	    18.50000    	   -5.308910    
   -118.7500    	    37.41573    	    18.50000    	   -4.789094    
   -121.2500    	    39.43820    	    18.50000    	   -4.627852    
   -118.7500    	    39.43820    	    18.50000    	   -2.674338    
   -121.2500    	    41.46067    	    18.50000    	   -2.969775    
   -118.7500    	    41.46067    	    18.50000    	   -1.560092    
   -121.2500    	    43.48315    	    18.50000    	   -3.189461    
   -118.7500    	    43.48315    	    18.50000    	   -2.664902    
   -121.2500    	    35.39326    	    19.50000    	   -5.527868    
   -118.7500    	    35.39326    	    19.50000    	   -4.754735    
   -121.2500    	    37.41573    	    19.50000    	   -4.883909    
   -118.7500    	    37.41573    	    19.50000    	   -4.600775    
   -121.2500    	    39.43820    	    19.50000    	   -4.428334    
   -118.7500    	    39.43820    	    19.50000    	   -2.812179    
   -121.2500    	    41.46067    	    19.50000    	   -3.223530    
   -118.7500    	    41.46067    	    19.50000    	   -1.970519    
   -121.2500    	    43.48315    	    19.50000    	   -3.501637    
   -118.7500    	    43.48315    	    19.50000    	   -3.185674    
   -121.2500    	    35.39326    	    29.50000    	   -3.073576    
   -118.7500    	    35.39326    	    29.50000    	   -2.411240    
   -121.2500    	    37.41573    	    29.50000    	   0.9614372    
   -118.7500    	    37.41573    	    29.50000    	   -2.378726    
   -121.2500    	    39.43820    	    29.50000    	   -1.864715    
   -118.7500    	    39.43820    	    29.50000    	   -1.994399    
   -121.2500    	    41.46067    	    29.50000    	   -1.516528    
   -118.7500    	    41.46067    	    29.50000    	   -1.552445    
   -121.2500    	    43.48315    	    29.50000    	   -1.633906    
   -118.7500    	    43.48315    	    29.50000    	   -1.720053    
   -121.2500    	    35.39326    	    30.50000    	   -2.824903    
   -118.7500    	    35.39326    	    30.50000    	   -2.379761    
   -121.2500    	    37.41573    	    30.50000    	   0.6832709    
   -118.7500    	    37.41573    	    30.50000    	   -2.649679    
   -121.2500    	    39.43820    	    30.50000    	   -2.227864    
   -118.7500    	    39.43820    	    30.50000    	   -2.460744    
   -121.2500    	    41.46067    	    30.50000    	   -2.134886    
   -118.7500    	    41.46067    	    30.50000    	   -2.298277    
   -121.2500    	    43.48315    	    30.50000    	   -2.151245    
   -118.7500    	    43.48315    	    30.50000    	   -2.599384    
   -121.2500    	    35.39326    	    31.50000    	   -2.621412    
   -118.7500    	    35.39326    	    31.50000    	   -2.283129    
   -121.2500    	    37.41573    	    31.50000    	   0.4915604    
   -118.7500    	    37.41573    	    31.50000    	   -2.598026    
   -121.2500    	    39.43820    	    31.50000    	   -2.256649    
