timestep,ccsm4_pdsi1,ccsm4_pdsi2,ccsm4_pdsi3,ccsm4_pdsi4,ccsm4_pdsi5,ccsm4_pdsi6,esm2m_pdsi1
1,0.890876229,0.38394782,0.752003674,1.007194555,0.818210048,0.697503075,-0.007244034
2,1.31394696,0.989416317,0.40574555,0.82208339,0.755352801,0.739636692,-0.09656068
3,0.907117347,1.177068412,0.499389902,0.956116535,0.99430171,0.613370067,0.216072737
4,0.64971811,0.385300984,0.253389384,0.990199029,0.926842639,0.2462121,0.458959013
5,1.068487318,0.654857346,0.385425388,1.199947337,1.079884332,1.055005905,0.989589875
6,0.670069509,0.378800761,0.962404107,0.639521862,0.764795596,0.879523506,-0.067697767
7,0.7634888,0.306220759,0.49282398,0.073617816,0.658240515,0.703405025,0.082413132
8,1.137031611,0.729224171,0.346239237,0.976588551,0.788158006,0.457821441,0.114876581
9,0.899366076,0.37655656,0.33859893,1.408813719,0.586346277,0.401746689,0.151855056
10,1.407122145,0.490617195,1.069148188,0.51336486,1.109976003,0.511421161,0.480888721
11,1.108504921,0.843424989,0.581408419,1.347513505,1.012093657,0.414604159,0.707864989
12,1.096203421,1.071912701,0.975324085,0.602814716,0.857301555,1.179563819,0.639171619
13,0.781322345,0.713443223,0.545467211,0.588252354,1.300772628,0.662594413,0.316652158
14,1.098668753,0.631995341,0.917948522,1.141615576,1.077959631,0.787686391,0.37944045
15,1.471127195,1.30474731,1.10152119,1.3301502,0.456222744,0.486781261,0.655301151
16,0.777952592,0.857851597,0.650872534,0.240385374,1.10000942,1.053249894,0.540798718
17,1.174844919,1.044616564,0.673392141,1.117443792,0.639278004,1.038700204,0.873143621
18,0.922804722,0.831914279,0.971887059,1.352648964,0.731590436,1.183544553,0.708316576
