timestep,ccsm4_pdsi1,ccsm4_pdsi2,ccsm4_pdsi3,ccsm4_pdsi4,ccsm4_pdsi5,ccsm4_pdsi6,esm2m_pdsi1
1,0.875470344,0.920401561,1.427227063,1.195164318,1.078506047,1.240573036,1.198995753
2,1.298541074,1.525870058,1.080968939,1.010053153,1.015648801,1.282706653,1.109679108
3,0.891711461,1.713522153,1.174613291,1.144086298,1.25459771,1.156440028,1.422312524
4,0.634312224,0.921754725,0.928612773,1.178168792,1.187138639,0.78928206,1.6651988
5,1.053081433,1.191311087,1.060648777,1.3879171,1.340180332,1.598075866,2.195829662
6,0.654663623,0.915254502,1.637627496,0.827491625,1.025091596,1.422593467,1.138542021
7,0.748082914,0.842674501,1.168047369,0.261587579,0.918536515,1.246474985,1.28865292
8,1.121625725,1.265677912,1.021462626,1.164558314,1.048454006,1.000891401,1.321116369
9,0.883960191,0.913010301,1.013822319,1.596783482,0.846642277,0.94481665,1.358094843
10,1.391716259,1.027070936,1.744371577,0.701334623,1.370272003,1.054491121,1.687128508
11,1.093099035,1.37987873,1.256631807,1.535483268,1.272389657,0.95767412,1.914104776
12,1.080797535,1.608366442,1.650547474,0.790784479,1.117597555,1.72263378,1.845411406
13,0.765916459,1.249896964,1.2206906,0.776222117,1.561068628,1.205664373,1.522891945
14,1.083262867,1.168449082,1.593171911,1.329585339,1.338255631,1.330756352,1.585680238
15,1.455721309,1.841201051,1.776744578,1.518119963,0.716518743,1.029851222,1.861540938
16,0.762546706,1.394305338,1.326095923,0.428355137,1.36030542,1.596319854,1.747038506
17,1.159439034,1.581070305,1.34861553,1.305413555,0.899574004,1.581770164,2.079383408
18,0.907398836,1.36836802,1.647110448,1.540618727,0.991886436,1.726614513,1.914556363
